"DMF_SON_1E-4.spc"
"Wavelength nm."	"Abs."
575.50	0.011368
576.00	0.011219
576.50	0.011035
577.00	0.010895
577.50	0.010754
578.00	0.010584
578.50	0.010478
579.00	0.010351
579.50	0.010207
580.00	0.010037
580.50	0.009943
581.00	0.009786
581.50	0.009673
582.00	0.009566
582.50	0.009474
583.00	0.009346
583.50	0.009184
584.00	0.009079
584.50	0.008984
585.00	0.008942
585.50	0.008903
586.00	0.008827
586.50	0.008795
587.00	0.008737
587.50	0.008668
588.00	0.008530
588.50	0.008423
589.00	0.008317
589.50	0.008237
590.00	0.008101
590.50	0.008097
591.00	0.008087
591.50	0.008028
592.00	0.007935
592.50	0.007890
593.00	0.007810
593.50	0.007740
594.00	0.007711
594.50	0.007725
595.00	0.007652
595.50	0.007621
596.00	0.007595
596.50	0.007522
597.00	0.007465
597.50	0.007433
598.00	0.007387
598.50	0.007354
599.00	0.007264
599.50	0.007185
600.00	0.007116
600.50	0.007072
601.00	0.007000
601.50	0.006989
602.00	0.006934
602.50	0.006867
603.00	0.006782
603.50	0.006702
604.00	0.006681
604.50	0.006666
605.00	0.006634
605.50	0.006603
606.00	0.006598
606.50	0.006501
607.00	0.006454
607.50	0.006499
608.00	0.006400
608.50	0.006345
609.00	0.006388
609.50	0.006374
610.00	0.006317
610.50	0.006329
611.00	0.006362
611.50	0.006343
612.00	0.006294
612.50	0.006308
613.00	0.006287
613.50	0.006234
614.00	0.006150
614.50	0.006148
615.00	0.006060
615.50	0.006056
616.00	0.006061
616.50	0.006093
617.00	0.006089
617.50	0.006032
618.00	0.005998
618.50	0.005997
619.00	0.005923
619.50	0.005879
620.00	0.005927
620.50	0.005906
621.00	0.005866
621.50	0.005867
622.00	0.005856
622.50	0.005783
623.00	0.005775
623.50	0.005745
624.00	0.005739
624.50	0.005757
625.00	0.005787
625.50	0.005777
626.00	0.005718
626.50	0.005689
627.00	0.005619
627.50	0.005545
628.00	0.005529
628.50	0.005527
629.00	0.005490
629.50	0.005394
630.00	0.005331
630.50	0.005267
631.00	0.005235
631.50	0.005221
632.00	0.005172
632.50	0.005152
633.00	0.005127
633.50	0.005098
634.00	0.005046
634.50	0.005131
635.00	0.005235
635.50	0.005207
636.00	0.005172
636.50	0.005180
637.00	0.005132
637.50	0.004965
638.00	0.004957
638.50	0.004985
639.00	0.005021
639.50	0.005033
640.00	0.005097
640.50	0.005086
641.00	0.005011
641.50	0.004913
642.00	0.004857
642.50	0.004884
643.00	0.004854
643.50	0.004829
644.00	0.004807
644.50	0.004773
645.00	0.004725
645.50	0.004766
646.00	0.004879
646.50	0.004970
647.00	0.005015
647.50	0.004991
648.00	0.005033
648.50	0.005063
649.00	0.005039
649.50	0.005078
650.00	0.005098
650.50	0.004967
651.00	0.004789
651.50	0.004726
652.00	0.004643
652.50	0.004672
653.00	0.004686
653.50	0.004739
654.00	0.004731
654.50	0.004777
655.00	0.004732
655.50	0.004761
656.00	0.004736
656.50	0.004725
657.00	0.004694
657.50	0.004682
658.00	0.004650
658.50	0.004644
659.00	0.004630
659.50	0.004631
660.00	0.004674
660.50	0.004662
661.00	0.004680
661.50	0.004681
662.00	0.004614
662.50	0.004559
663.00	0.004600
663.50	0.004630
664.00	0.004579
664.50	0.004601
665.00	0.004593
665.50	0.004557
