"NMI_SON_5E-5.spc"
"Wavelength nm."	"Abs."
400.00	0.031851
400.50	0.031860
401.00	0.031874
401.50	0.031831
402.00	0.031608
402.50	0.031499
403.00	0.031449
403.50	0.031341
404.00	0.031243
404.50	0.031248
405.00	0.031185
405.50	0.031137
406.00	0.031051
406.50	0.031076
407.00	0.030942
407.50	0.030874
408.00	0.030694
408.50	0.030685
409.00	0.030561
409.50	0.030651
410.00	0.030556
410.50	0.030602
411.00	0.030541
411.50	0.030486
412.00	0.030299
412.50	0.030293
413.00	0.030214
413.50	0.030132
414.00	0.030088
414.50	0.030078
415.00	0.030003
415.50	0.029938
416.00	0.029939
416.50	0.029983
417.00	0.029981
417.50	0.030025
418.00	0.030026
418.50	0.029894
419.00	0.029763
419.50	0.029642
420.00	0.029515
420.50	0.029469
421.00	0.029420
421.50	0.029407
422.00	0.029428
422.50	0.029447
423.00	0.029380
423.50	0.029437
424.00	0.029393
424.50	0.029322
425.00	0.029305
425.50	0.029319
426.00	0.029294
426.50	0.029208
427.00	0.029332
427.50	0.029270
428.00	0.029209
428.50	0.029253
429.00	0.029408
429.50	0.029399
430.00	0.029540
430.50	0.029630
431.00	0.029630
431.50	0.029681
432.00	0.029711
432.50	0.029771
433.00	0.029860
433.50	0.029925
434.00	0.029956
434.50	0.030038
435.00	0.030125
435.50	0.030183
436.00	0.030261
436.50	0.030324
437.00	0.030364
437.50	0.030434
438.00	0.030478
438.50	0.030565
439.00	0.030651
439.50	0.030780
440.00	0.030841
440.50	0.030936
441.00	0.030995
441.50	0.031043
442.00	0.031151
442.50	0.031178
443.00	0.031222
443.50	0.031301
444.00	0.031372
444.50	0.031365
445.00	0.031343
445.50	0.031391
446.00	0.031400
446.50	0.031369
447.00	0.031361
447.50	0.031378
448.00	0.031389
448.50	0.031343
449.00	0.031312
449.50	0.031274
450.00	0.031303
450.50	0.031147
451.00	0.031094
451.50	0.031057
452.00	0.031034
452.50	0.030934
453.00	0.030985
453.50	0.030946
454.00	0.031001
454.50	0.030895
455.00	0.030856
455.50	0.030730
456.00	0.030690
456.50	0.030536
457.00	0.030539
457.50	0.030521
458.00	0.030533
458.50	0.030563
459.00	0.030576
459.50	0.030549
460.00	0.030536
460.50	0.030602
461.00	0.030647
461.50	0.030643
462.00	0.030686
462.50	0.030810
463.00	0.030811
463.50	0.030827
464.00	0.030952
464.50	0.031099
465.00	0.031138
465.50	0.031250
466.00	0.031365
466.50	0.031464
467.00	0.031572
467.50	0.031704
468.00	0.031810
468.50	0.031873
469.00	0.032064
469.50	0.032181
470.00	0.032370
470.50	0.032621
471.00	0.032874
471.50	0.033008
472.00	0.033126
472.50	0.033216
