"NMI_1E-4.spc"
"Wavelength nm."	"Abs."
576.00	0.014907
576.50	0.014641
577.00	0.014411
577.50	0.014293
578.00	0.014158
578.50	0.013943
579.00	0.013736
579.50	0.013556
580.00	0.013254
580.50	0.013004
581.00	0.012802
581.50	0.012608
582.00	0.012391
582.50	0.012231
583.00	0.012098
583.50	0.011917
584.00	0.011751
584.50	0.011591
585.00	0.011459
585.50	0.011292
586.00	0.011158
586.50	0.011005
587.00	0.010850
587.50	0.010714
588.00	0.010542
588.50	0.010396
589.00	0.010321
589.50	0.010216
590.00	0.010053
590.50	0.010023
591.00	0.009970
591.50	0.009866
592.00	0.009728
592.50	0.009706
593.00	0.009548
593.50	0.009395
594.00	0.009244
594.50	0.009146
595.00	0.009005
595.50	0.008970
596.00	0.008920
596.50	0.008815
597.00	0.008741
597.50	0.008724
598.00	0.008639
598.50	0.008518
599.00	0.008522
599.50	0.008455
600.00	0.008407
600.50	0.008333
601.00	0.008331
601.50	0.008254
602.00	0.008212
602.50	0.008109
603.00	0.008041
603.50	0.007939
604.00	0.007877
604.50	0.007820
605.00	0.007714
605.50	0.007694
606.00	0.007643
606.50	0.007603
607.00	0.007560
607.50	0.007507
608.00	0.007412
608.50	0.007428
609.00	0.007438
609.50	0.007447
610.00	0.007451
610.50	0.007454
611.00	0.007340
611.50	0.007287
612.00	0.007206
612.50	0.007154
613.00	0.007051
613.50	0.007062
614.00	0.007001
614.50	0.006973
615.00	0.006972
615.50	0.007023
616.00	0.006945
616.50	0.006866
617.00	0.006793
617.50	0.006714
618.00	0.006656
618.50	0.006662
619.00	0.006579
619.50	0.006549
620.00	0.006499
620.50	0.006359
621.00	0.006318
621.50	0.006347
622.00	0.006347
622.50	0.006313
623.00	0.006359
623.50	0.006308
624.00	0.006255
624.50	0.006130
625.00	0.006053
625.50	0.006009
626.00	0.005986
626.50	0.005932
627.00	0.006008
627.50	0.005965
628.00	0.005874
628.50	0.005841
629.00	0.005914
629.50	0.005823
630.00	0.005873
630.50	0.005903
631.00	0.005938
631.50	0.005862
632.00	0.005849
632.50	0.005819
633.00	0.005807
633.50	0.005681
634.00	0.005598
634.50	0.005554
635.00	0.005468
635.50	0.005410
636.00	0.005379
636.50	0.005322
637.00	0.005271
637.50	0.005277
638.00	0.005289
638.50	0.005237
639.00	0.005267
639.50	0.005304
640.00	0.005366
640.50	0.005289
641.00	0.005301
641.50	0.005273
642.00	0.005176
642.50	0.005089
643.00	0.005126
643.50	0.005133
644.00	0.005104
644.50	0.005147
645.00	0.005145
645.50	0.005121
646.00	0.005083
646.50	0.004990
647.00	0.004928
647.50	0.004861
648.00	0.004828
648.50	0.004763
649.00	0.004808
649.50	0.004854
650.00	0.004840
650.50	0.004806
651.00	0.004829
651.50	0.004801
652.00	0.004741
652.50	0.004765
653.00	0.004711
653.50	0.004610
654.00	0.004549
654.50	0.004521
655.00	0.004384
655.50	0.004418
656.00	0.004458
656.50	0.004456
657.00	0.004395
657.50	0.004395
658.00	0.004342
658.50	0.004349
659.00	0.004353
659.50	0.004411
660.00	0.004458
660.50	0.004428
661.00	0.004351
661.50	0.004328
662.00	0.004308
662.50	0.004258
663.00	0.004208
663.50	0.004241
664.00	0.004236
664.50	0.004228
665.00	0.004200
665.50	0.004270
666.00	0.004265
666.50	0.004298
667.00	0.004301
667.50	0.004349
668.00	0.004313
668.50	0.004295
669.00	0.004228
669.50	0.004160
670.00	0.004158
670.50	0.004136
671.00	0.004119
671.50	0.004122
672.00	0.004125
672.50	0.004111
673.00	0.004168
673.50	0.004175
674.00	0.004139
674.50	0.004191
675.00	0.004174
675.50	0.004159
676.00	0.004137
676.50	0.004126
677.00	0.004061
677.50	0.003998
678.00	0.003976
678.50	0.003973
679.00	0.004094
679.50	0.004067
680.00	0.004029
680.50	0.003933
681.00	0.003878
681.50	0.003723
682.00	0.003685
682.50	0.003692
683.00	0.003670
683.50	0.003686
684.00	0.003706
684.50	0.003667
685.00	0.003619
685.50	0.003630
686.00	0.003583
686.50	0.003598
687.00	0.003634
687.50	0.003648
688.00	0.003678
688.50	0.003661
