"NMI_SON_5E-6.spc"
"Wavelength nm."	"Abs."
400.00	0.002680
400.50	0.002657
401.00	0.002709
401.50	0.002752
402.00	0.002712
402.50	0.002726
403.00	0.002801
403.50	0.002754
404.00	0.002658
404.50	0.002617
405.00	0.002543
405.50	0.002523
406.00	0.002489
406.50	0.002574
407.00	0.002589
407.50	0.002639
408.00	0.002586
408.50	0.002656
409.00	0.002602
409.50	0.002594
410.00	0.002546
410.50	0.002594
411.00	0.002556
411.50	0.002545
412.00	0.002528
412.50	0.002579
413.00	0.002585
413.50	0.002599
414.00	0.002649
414.50	0.002650
415.00	0.002593
415.50	0.002576
416.00	0.002663
416.50	0.002715
417.00	0.002708
417.50	0.002732
418.00	0.002740
418.50	0.002622
419.00	0.002586
419.50	0.002657
420.00	0.002697
420.50	0.002696
421.00	0.002714
421.50	0.002658
422.00	0.002650
422.50	0.002672
423.00	0.002603
423.50	0.002664
424.00	0.002712
424.50	0.002693
425.00	0.002715
425.50	0.002806
426.00	0.002673
426.50	0.002611
427.00	0.002609
427.50	0.002503
428.00	0.002445
428.50	0.002546
429.00	0.002622
429.50	0.002623
430.00	0.002786
430.50	0.002845
431.00	0.002836
431.50	0.002891
432.00	0.002848
432.50	0.002774
433.00	0.002717
433.50	0.002687
434.00	0.002586
434.50	0.002607
435.00	0.002571
435.50	0.002632
436.00	0.002690
436.50	0.002635
437.00	0.002540
437.50	0.002611
438.00	0.002588
438.50	0.002580
439.00	0.002705
439.50	0.002814
440.00	0.002837
440.50	0.002875
441.00	0.002906
441.50	0.002855
442.00	0.002891
442.50	0.002884
443.00	0.002909
443.50	0.002866
444.00	0.002883
444.50	0.002895
445.00	0.002811
445.50	0.002752
446.00	0.002704
446.50	0.002663
447.00	0.002689
447.50	0.002743
448.00	0.002769
448.50	0.002794
449.00	0.002852
449.50	0.002795
450.00	0.002767
450.50	0.002740
451.00	0.002736
451.50	0.002751
452.00	0.002757
452.50	0.002778
453.00	0.002844
453.50	0.002922
454.00	0.002977
454.50	0.003009
455.00	0.003059
455.50	0.003010
456.00	0.002983
456.50	0.002900
457.00	0.002890
457.50	0.002872
458.00	0.002888
458.50	0.002927
459.00	0.002929
459.50	0.002899
460.00	0.002858
460.50	0.002840
461.00	0.002857
461.50	0.002863
462.00	0.002903
462.50	0.002957
463.00	0.003017
463.50	0.002966
464.00	0.002997
464.50	0.003083
465.00	0.003049
465.50	0.003026
466.00	0.003077
466.50	0.003116
467.00	0.003067
467.50	0.003089
468.00	0.003036
468.50	0.003040
469.00	0.003032
469.50	0.003029
