"NMI_SON_1E-5.spc"
"Wavelength nm."	"Abs."
575.50	0.001392
576.00	0.001354
576.50	0.001285
577.00	0.001278
577.50	0.001338
578.00	0.001372
578.50	0.001332
579.00	0.001315
579.50	0.001316
580.00	0.001166
580.50	0.001037
581.00	0.000995
581.50	0.001008
582.00	0.000952
582.50	0.000961
583.00	0.001001
583.50	0.001018
584.00	0.000958
584.50	0.000947
585.00	0.000941
585.50	0.000943
586.00	0.000927
586.50	0.000887
587.00	0.000859
587.50	0.000826
588.00	0.000773
588.50	0.000747
589.00	0.000762
589.50	0.000741
590.00	0.000746
590.50	0.000750
591.00	0.000737
591.50	0.000740
592.00	0.000731
592.50	0.000783
593.00	0.000805
593.50	0.000777
594.00	0.000737
594.50	0.000707
595.00	0.000609
595.50	0.000590
596.00	0.000591
596.50	0.000550
597.00	0.000496
597.50	0.000558
598.00	0.000608
598.50	0.000608
599.00	0.000712
599.50	0.000790
600.00	0.000756
600.50	0.000727
601.00	0.000712
601.50	0.000648
602.00	0.000610
602.50	0.000589
603.00	0.000588
603.50	0.000608
604.00	0.000595
604.50	0.000592
605.00	0.000571
605.50	0.000587
606.00	0.000607
606.50	0.000648
607.00	0.000690
607.50	0.000677
608.00	0.000573
608.50	0.000568
609.00	0.000578
609.50	0.000531
610.00	0.000587
610.50	0.000640
611.00	0.000520
611.50	0.000428
612.00	0.000405
612.50	0.000339
613.00	0.000289
613.50	0.000270
614.00	0.000270
614.50	0.000278
615.00	0.000327
615.50	0.000352
616.00	0.000392
616.50	0.000389
617.00	0.000336
617.50	0.000299
618.00	0.000296
618.50	0.000339
619.00	0.000283
619.50	0.000295
620.00	0.000242
620.50	0.000183
621.00	0.000215
621.50	0.000324
622.00	0.000366
622.50	0.000450
623.00	0.000503
623.50	0.000455
624.00	0.000390
624.50	0.000352
625.00	0.000283
625.50	0.000271
626.00	0.000279
626.50	0.000265
627.00	0.000289
627.50	0.000242
628.00	0.000165
628.50	0.000140
629.00	0.000202
629.50	0.000152
630.00	0.000184
630.50	0.000229
631.00	0.000252
631.50	0.000222
632.00	0.000236
632.50	0.000245
633.00	0.000260
633.50	0.000206
634.00	0.000215
634.50	0.000244
635.00	0.000177
635.50	0.000146
636.00	0.000166
636.50	0.000108
637.00	0.000040
637.50	0.000074
638.00	0.000085
638.50	0.000005
639.00	-0.000021
639.50	-0.000017
640.00	0.000021
640.50	0.000008
641.00	0.000057
641.50	0.000118
