"IPROH_1E-3.spc"
"Wavelength nm."	"Abs."
576.00	0.139085
576.50	0.137131
577.00	0.135204
577.50	0.133261
578.00	0.131474
578.50	0.129595
579.00	0.127858
579.50	0.126227
580.00	0.124543
580.50	0.122926
581.00	0.121290
581.50	0.119579
582.00	0.117922
582.50	0.116280
583.00	0.114649
583.50	0.113078
584.00	0.111597
584.50	0.110071
585.00	0.108690
585.50	0.107212
586.00	0.105763
586.50	0.104336
587.00	0.102943
587.50	0.101454
588.00	0.100061
588.50	0.098706
589.00	0.097420
589.50	0.096167
590.00	0.094952
590.50	0.093705
591.00	0.092495
591.50	0.091269
592.00	0.089981
592.50	0.088750
593.00	0.087564
593.50	0.086386
594.00	0.085217
594.50	0.084087
595.00	0.082987
595.50	0.081934
596.00	0.080891
596.50	0.079923
597.00	0.078971
597.50	0.077964
598.00	0.076916
598.50	0.075883
599.00	0.074813
599.50	0.073868
600.00	0.072978
600.50	0.072216
601.00	0.071442
601.50	0.070691
602.00	0.069804
602.50	0.069021
603.00	0.068139
603.50	0.067379
604.00	0.066638
604.50	0.066000
605.00	0.065273
605.50	0.064646
606.00	0.063993
606.50	0.063337
607.00	0.062744
607.50	0.062205
608.00	0.061615
608.50	0.060971
609.00	0.060372
609.50	0.059771
610.00	0.059207
610.50	0.058612
611.00	0.058022
611.50	0.057429
612.00	0.056846
612.50	0.056275
613.00	0.055784
613.50	0.055378
614.00	0.054892
614.50	0.054467
615.00	0.054032
615.50	0.053586
616.00	0.053140
616.50	0.052776
617.00	0.052312
617.50	0.051870
618.00	0.051410
618.50	0.050932
619.00	0.050462
619.50	0.050130
620.00	0.049741
620.50	0.049353
621.00	0.048977
621.50	0.048564
622.00	0.048099
622.50	0.047671
623.00	0.047366
623.50	0.047074
624.00	0.046828
624.50	0.046501
625.00	0.046202
625.50	0.045866
626.00	0.045555
626.50	0.045186
627.00	0.044881
627.50	0.044619
628.00	0.044313
628.50	0.043983
629.00	0.043716
629.50	0.043410
630.00	0.043088
630.50	0.042796
631.00	0.042440
631.50	0.042141
632.00	0.041931
632.50	0.041611
633.00	0.041315
